Rank,Lemma,Freq
394,frigir,6
395,furar,6
396,garantir,6
397,indicar,6
398,internar,6
399,largar,6
400,lutar,6
401,molhar,6
402,ocupar,6
403,odiar,6
404,planejar,6
405,pregar,6
406,proibir,6
407,realizar,6
408,reforçar,6
409,relacionar,6
410,rezar,6
411,sarar,6
412,selecionar,6
413,suar,6
414,tecer,6
415,testar,6
416,transferir,6
417,tremer,6
418,utilizar,6
419,variar,6
420,vazar,6
421,adicionar,5
422,afundar,5
423,ajeitar,5
424,apostar,5
425,aproximar,5
426,arrebentar,5
427,arrepiar,5
428,associar,5
429,bagunçar,5
430,carimbar,5
431,chupar,5
432,coçar,5
433,compreender,5
434,concentrar,5
435,conectar,5
436,confiar,5
437,curar,5
438,direcionar,5
439,doar,5
440,elaborar,5
441,embrulhar,5
442,empatar,5
443,encarar,5
444,enfrentar,5
445,ensaiar,5
446,fabricar,5
447,forrar,5
448,freqüentar,5
449,gelar,5
450,incomodar,5
451,informar,5
452,interferir,5
453,jurar,5
454,lidar,5
455,mentir,5
456,multiplicar,5
457,penar,5
458,pingar,5
459,programar,5
460,promover,5
461,rechear,5
462,rodear,5
463,soprar,5
464,sossegar,5
465,topar,5
466,traduzir,5
467,transcrever,5
468,vacilar,5
469,acampar,4
470,agir,4
471,aplicar,4
472,apoiar,4
473,aprovar,4
474,arrepender,4
475,assar,4
476,assentar,4
477,assustar,4
478,atacar,4
479,atuar,4
480,beijar,4
481,bichar,4
482,bordar,4
483,bulir,4
484,caprichar,4
485,chatear,4
486,compor,4
487,corrigir,4
488,declarar,4
489,definir,4
490,desanimar,4
491,descarregar,4
492,descolorir,4
493,despedir,4
494,despertar,4
495,dispor,4
496,dobrar,4
497,encadernar,4
498,encaminhar,4
499,especificar,4
500,espirrar,4
501,exercer,4
502,exigir,4
503,extrapolar,4
504,facilitar,4
505,forçar,4
506,fuçar,4
507,grudar,4
508,ignorar,4
509,implantar,4
510,imprimir,4
511,influenciar,4
512,insistir,4
513,interromper,4
514,latir,4
515,lesar,4
516,leto,4
517,mamar,4
518,negociar,4
519,perfazer,4
520,piorar,4
521,posicionar,4
522,praticar,4
523,projetar,4
524,prometer,4
525,providenciar,4
526,quatar,4
527,queixar,4
528,questionar,4
529,reformar,4
530,regular,4
531,reparar,4
532,revirar,4
533,sujar,4
534,sustentar,4
535,tatuar,4
536,temperar,4
537,trepar,4
538,adequar,3
539,admirar,3
540,admitir,3
541,adoecer,3
542,adotar,3
543,agarrar,3
544,alcançar,3
545,amadurecer,3
546,amanteigar,3
547,ameaçar,3
548,aprofundar,3
549,argumentar,3
550,arrasar,3
551,assaltar,3
552,atingir,3
553,babaça,3
554,basear,3
555,bastar,3
556,bicar,3
557,bifar,3
558,bolar,3
559,cadastrar,3
560,cagar,3
561,calar,3
562,calçar,3
563,capacitar,3
564,captar,3
565,causar,3
566,chapar,3
567,cheirar,3
568,chutar,3
569,cicatrizar,3
570,coisa,3
